project_name,github_link,readme_documentation_score,commit_activity_score,dfx_json_score,total_score,readme_documentation_comments,commit_activity_comments,dfx_json_comments
Xdxsoul/design-guardian,https://github.com/Xdxsoul/design-guardian,2,1,1,4,"The README provides a clear project overview, problem statement, proposed solution, goals, and many external links (pitch decks, demos, roadmap). However, it lacks essential technical documentation:","1 - commits for only one week. Weekly development summary: Week of 2025-09-15: Implemented a modal view for publishing DesignCards, streamlining the card release process. Integrated draw‑io support into the Design Pattern feature, enabling richer diagram creation within the tool. These updates enhance the design workflow and improve user interaction with publishing and diagramming capabilities.; Week of 2025-09-22: This week we introduced a new gallery feature that lets users organize and view visual content in a dedicated view, expanding the app’s functionality. Minor updates and bug fixes were also applied to improve stability and polish existing features. Together, these changes enhance the user experience and overall reliability of the application.",dfx.json file found - indicates ICP/Dfinity project structure
zephyrzth/whcl-2025-momus,https://github.com/zephyrzth/whcl-2025-momus,3,1,1,5,"The README provides a solid project overview, clear key‑feature list, and a concise Quick Start guide with prerequisites and step‑by‑step commands for local development. The architecture diagram adds helpful context. However, it lacks explicit contribution guidelines (e.g., how to submit issues or pull requests) and does not include a detailed integration guide for using the agents or external APIs beyond a brief mention. While the formatting and grammar are generally good, the missing sections prevent it from reaching a “good” rating. Overall, the documentation is functional but incomplete, warranting a fair (3) rating.","1 - commits for only one week. Weekly development summary: Week of 2025-09-08: Implemented a new “Usage” page that displays a monthly metered‑usage chart and daily transaction history, adding frontend services, components, routing, menu integration, and charting dependencies (chart.js, react‑chartjs‑2). Extended the backend Motoko canister with helper types and functions to query the ICP index canister for debit transfer data, and updated dfx configuration to rename the ledger canister, add the index canister, and adjust deployment scripts accordingly. Minor UI refinements and updates to agent‑registry and backend service code accompany these feature additions.",dfx.json file found - indicates ICP/Dfinity project structure
stanlys96/Engramind-ICP,https://github.com/stanlys96/Engramind-ICP,2,0,1,3,"The README provides a clear, high‑level description of what Engramind is, its purpose, and some conceptual background, plus links to a demo, video, and pitch deck. However, it lacks essential technical documentation:",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
ArksRWA/ArksRWA,https://github.com/ArksRWA/ArksRWA,3,0,1,4,"The README provides solid local‑development setup instructions: it shows how to start the replica, deploy canisters, generate candid interfaces, and run the frontend server, plus a useful note on environment variables. However, it lacks a meaningful project description—readers don’t learn what “arks‑rwa” actually does or its purpose. There are no integration or usage guides beyond the basic local commands, and there are no contribution guidelines, code‑of‑conduct, or instructions for external developers to get involved. The structure and formatting are clear, and the grammar is acceptable, but the documentation is missing several key elements that would make it comprehensive. Hence it falls into the “fair” category.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
poggufanz/dao-tools,https://github.com/poggufanz/dao-tools,0,2,1,3,No documentation assessment provided.,"2 - commits for two weeks. Weekly development summary: Week of 2025-09-15: Implemented RBAC version 1, introducing role‑based access control across the platform. Added a voting system with a feature‑lock mechanism to manage user participation and safeguard new functionality. These changes enhance security and expand interactive capabilities.; Week of 2025-09-22: A new feature was added to the project (merged via PR #21 as “a some feature”). This introduces additional functionality, expanding the existing capabilities. Overall, the change brings a fresh feature to the codebase.",dfx.json file found - indicates ICP/Dfinity project structure
IC-DAPPS/BitcoinUSTbills,https://github.com/IC-DAPPS/BitcoinUSTbills,3,3,1,7,"The README provides a solid high‑level description of the project, its purpose, and the distinction between centralized and decentralized components. The tables, headings, and disclaimer are well‑formatted and the language is clear. However, it lacks critical practical information: there are no setup or installation instructions for running the code locally, no guide on how to integrate the platform (e.g., API usage, SDK, or smart‑contract interaction), and no contribution guidelines (how to submit issues, pull requests, code style, testing, etc.). Because the core documentation is present but these essential developer‑oriented sections are missing, the file falls into the “fair” category.","3 - commits for every other week. Weekly development summary: Week of 2025-09-01: This week we added the new `file-store-bucket` package to the monorepo, generated its initial documentation and API reference (updating the README, CHANGELOG to 0.1.1) and corrected its repository URL. The CI/CD system was expanded with GitHub Actions workflows that automate building, testing, deployment and committing of generated docs, and the documentation build pipeline was hardened with path/file validation, multiple download URLs, fallback extraction methods, and detailed debug logging. Together these changes improve project organization, documentation availability, and overall CI reliability, boosting development efficiency.; Week of 2025-09-08: Added Playwright as the new end‑to‑end testing framework, integrating a GitHub Actions step that starts a dev server, installs Chromium, runs tests in parallel, and replaces the old E2E scripts. The CI pipeline was expanded with frontend build, deployment, accessibility verification, a manual workflow_dispatch trigger, streamlined Mops installation, Rust target setup, version checks, cache fixes, and automatic Clippy fixes and formatting updates. Extensive code cleanup removed unused backend types, functions, and dependencies and simplified error handling in guard.rs, utils.rs, and lib.rs, improving build reliability, test performance, and overall code maintainability.; Week of 2025-09-15: This week we introduced full ckBTC deposit handling—including validation, storage, new Deposit types, automatic OUSG token minting, and backend notifications—while also adding a configurable EVM RPC deployment command and fixing a deployment‑reliability bug. We added ERC‑20 token transfer support with EIP‑1559 signing, request/response structs, and comprehensive tests, plus utilities to derive Ethereum addresses from ECDSA public keys and updated relevant Cargo dependencies. Together, these changes broaden cross‑chain token capabilities and improve the stability of our deployment pipeline.; Week of 2025-09-22: Implemented EVM RPC support and completed the core Bitcoin‑UST‑Bills functionality, adding full deposit processing, balance validation, transfer confirmation, ckBTC‑to‑OUSG conversion, comprehensive error handling, structured logging, and testing infrastructure. Updated the local deployment script for the OUSG ledger with clearer feedback, revised fee structure, and reliable principal/Canister ID handling. These changes enable end‑to‑end Bitcoin‑to‑OUSG operations and simplify local testing and deployment.",dfx.json file found - indicates ICP/Dfinity project structure
https://github.com/suDAO-WCHL,https://github.com/suDAO-WCHL,0,0,0,0,Error during evaluation: list index out of range,Error during evaluation: list index out of range,Error during evaluation: list index out of range
Anant-Kumar-Jain/Nebula-Wallet,https://github.com/Anant-Kumar-Jain/Nebula-Wallet.git,0,1,0,1,No documentation assessment provided.,"1 - commits for only one week. Weekly development summary: Week of 2025-09-22: The team cleaned up the project configuration by removing the original dfx.json and replacing its content with an empty file, then introduced a new deployment.json to hold deployment metadata. No functional code changes were made, indicating a focus on restructuring the deployment setup. Overall, this is a configuration update rather than a new feature addition.",No dfx.json file found - may not be using standard ICP/Dfinity development tools
Sipaling-SKS/resumid,https://github.com/Sipaling-SKS/resumid,3,0,1,4,"The README provides a solid project overview, a clear feature list, and a fairly detailed setup section covering prerequisites, cloning the repo, installing front‑end and Motoko dependencies, starting the Internet Computer environment, and deploying the canister. However, it lacks several key elements that would raise it to a higher rating:",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
SpaceCoupe55/LastPing233,https://github.com/SpaceCoupe55/LastPing233,3,0,1,4,"The README provides a solid project overview, feature list, architecture description, and visual screenshots, which give a clear sense of what the dApp does. It includes basic setup instructions (prerequisites and initial clone/install steps) and a start of the local replica command, but the installation section is incomplete (the `dfx start --` line is cut off) and lacks further steps such as building the canisters, deploying, or running the frontend. There is no integration guide for developers who want to use the token or the inheritance API, nor are there contribution guidelines, code of conduct, or testing instructions. Overall the structure and formatting are good, but the missing detailed development workflow and contribution information keep it at a “fair” level.",0 - no commits. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
bessho/willwisher,https://github.com/bessho/willwisher,1,0,1,2,"The provided “README” consists solely of a series of placeholder fields for personal information (e.g., social media accounts, crypto wallets, executor names, funeral details) followed by a copyright notice. It contains none of the core elements expected in a technical project README:",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
webstriiix/encrypted_notes,https://github.com/webstriiix/encrypted_notes,3,2,1,6,"The README provides a solid project overview, clear feature tables, and a decent technical architecture diagram. It includes a “Quick Start” section with prerequisites and initial commands, which helps a developer begin local development. However, the setup instructions are incomplete (the deployment command is cut off), there are no integration or usage guides beyond the high‑level description, and there are no contribution guidelines, code of conduct, or testing instructions. Grammar and formatting are generally good, but the missing critical sections prevent the documentation from being rated higher. Consequently, the documentation is functional but lacks several important elements, earning a fair rating.","2 - commits for two weeks. Weekly development summary: Week of 2025-09-08: This week the backend was expanded with new AI service types for content analysis, semantic search, and abstract summarization, along with persistent storage for encrypted search indices and corresponding update/query endpoints. Corresponding frontend components, hooks, and services were added to deliver an AI‑enhanced, multi‑language search UI that integrates results into the notes view and provides relevance scoring and smart refinements. Documentation was updated and a new dependency (`@dfinity/vetkeys`) was introduced.; Week of 2025-09-15: This week introduced NFT minting for notes and began integrating Bitcoin payment functionality, and added a new AI service layer that provides intelligent content processing, personalized search, and user‑learning features while staying compatible with the existing platform. Bug fixes and enhancements were also applied to the AI components.; Week of 2025-09-22: A new `canister_ids.json` file was added and the `dfx.json` configuration was cleaned by removing unused ledger canisters. The `Navbar` component was updated to correctly import and use the logo image, fixing a display bug. Loading state handling and spinner feedback were added to note deletion and NFT minting/updating (in `Notes.jsx` and `UpdateNote.jsx`), improving the UI responsiveness.",dfx.json file found - indicates ICP/Dfinity project structure
